date,outdated dependencies,all dependencies,kotlin lines,java lines,kotlin compiler warnings
30/09/2021,33,45
04/10/2021,32,49
05/10/2021,8,50,5349,
06/10/2021,8,50,5349,
07/10/2021,9,50,5349,
08/10/2021,9,50,5349,
09/10/2021,9,50,5349,
10/10/2021,9,50,5349,
11/10/2021,9,50,5695,
12/10/2021,11,50,5695,
13/10/2021,11,50,5695,
14/10/2021,18,50,5695,
15/10/2021,18,50,5695,
16/10/2021,20,50,5695,
17/10/2021,20,50,5695,
18/10/2021,20,50,5828,
19/10/2021,20,50,5828,
20/10/2021,20,50,5828,
21/10/2021,20,50,5828,
22/10/2021,20,50,5828,
23/10/2021,20,50,5828,
24/10/2021,20,50,5828,,15
25/10/2021,20,50,6076,,1
26/10/2021,20,50,6076,,1
27/10/2021,20,50,6076,,1
28/10/2021,28,50,6076,,1
29/10/2021,28,50,6076,,1
30/10/2021,28,50,6076,,1
31/10/2021,28,50,6076,,1
01/11/2021,28,50,6076,,1
02/11/2021,28,50,6076,,1
03/11/2021,28,50,6076,,1
04/11/2021,28,50,6076,,1
05/11/2021,28,50,6076,,1
06/11/2021,28,50,6076,,1
07/11/2021,28,50,6076,,1
08/11/2021,28,50,6076,,1
09/11/2021,28,50,6076,,1
10/11/2021,28,50,6076,,1
11/11/2021,28,50,6076,,1
12/11/2021,29,50,6076,,1
13/11/2021,29,50,6076,,1
14/11/2021,29,50,6076,,1
15/11/2021,29,50,6076,,1
16/11/2021,29,50,6076,,1
17/11/2021,30,50,6076,,1
18/11/2021,33,50,6076,,1
19/11/2021,33,50,6076,,1
20/11/2021,33,50,6076,,1
21/11/2021,33,50,6076,,1
22/11/2021,34,50,6076,,1
23/11/2021,34,50,6076,,1
24/11/2021,34,50,6076,,1
25/11/2021,34,50,6076,,1
29/11/2021,34,50,6076,,1
30/11/2021,34,50,6076,,1
01/12/2021,34,50,6076,,1
02/12/2021,34,50,6076,,1
03/12/2021,34,50,6076,,1
04/12/2021,34,50,6076,,1
05/12/2021,34,50,6076,,1
06/12/2021,34,50,6076,,1
07/12/2021,34,50,6076,,1
08/12/2021,34,50,6076,,1
09/12/2021,34,50,6076,,1
10/12/2021,34,50,6076,,1
11/12/2021,34,50,6076,,1
12/12/2021,34,50,6076,,1
13/12/2021,34,50,6076,,1
14/12/2021,34,50,6076,,1
15/12/2021,34,50,6076,,1
16/12/2021,37,50,6076,,1
17/12/2021,37,50,6076,,1
18/12/2021,38,50,6288,,21
19/12/2021,38,50,6288,,21
20/12/2021,38,50,6288,,21
21/12/2021,38,50,6288,,21
22/12/2021,38,50,6288,,21
23/12/2021,39,50,6288,,21
24/12/2021,39,50,6288,,21
25/12/2021,39,50,6288,,21
26/12/2021,39,50,6288,,21
28/12/2021,39,50,6288,,21
29/12/2021,39,50,6288,,21
30/12/2021,39,50,6288,,21
31/12/2021,39,50,6288,,21
01/01/2022,39,50,6288,,21
02/01/2022,39,50,6288,,21
03/01/2022,39,50,6288,,21
04/01/2022,39,50,6288,,21
05/01/2022,39,50,6288,,21
06/01/2022,39,50,6288,,21
07/01/2022,39,50,6288,,21
08/01/2022,39,50,6288,,21
09/01/2022,39,50,6288,,21
10/01/2022,39,50,6288,,21
11/01/2022,39,50,6288,,21
12/01/2022,39,50,6288,,21
13/01/2022,39,50,6288,,21
14/01/2022,40,50,6288,,21
15/01/2022,40,50,6288,,21
16/01/2022,40,50,6288,,21
17/01/2022,40,50,6288,,21
18/01/2022,40,50,6288,,21
19/01/2022,40,50,6288,,21
20/01/2022,40,50,6288,,21
21/01/2022,40,50,6288,,21
22/01/2022,40,50,6288,,21
23/01/2022,40,50,6288,,21
24/01/2022,40,50,6288,,21
25/01/2022,40,50,6288,,21
26/01/2022,40,50,6288,,21
27/01/2022,40,50,6288,,21
28/01/2022,40,50,6288,,21
29/01/2022,40,50,6288,,21
30/01/2022,40,50,6288,,21
31/01/2022,40,50,6288,,21
01/02/2022,40,50,6288,,21
02/02/2022,40,50,6288,,21
03/02/2022,40,50,6288,,21
04/02/2022,40,50,6288,,21
05/02/2022,40,50,6288,,21
06/02/2022,40,50,6288,,21
07/02/2022,40,50,6288,,21
08/02/2022,40,50,6288,,21
09/02/2022,40,50,6288,,21
10/02/2022,40,50,6288,,21
11/02/2022,40,50,6288,,21
12/02/2022,40,50,6288,,21
13/02/2022,40,50,6288,,21
14/02/2022,40,50,6288,,21
15/02/2022,41,50,6288,,21
16/02/2022,41,50,6288,,21
17/02/2022,41,50,6288,,21
18/02/2022,41,50,6288,,21
19/02/2022,41,50,6288,,21
20/02/2022,41,50,6288,,21
21/02/2022,41,50,6288,,21
22/02/2022,41,50,6288,,21
23/02/2022,41,50,6288,,21
24/02/2022,41,50,6288,,21
25/02/2022,41,50,6288,,21
26/02/2022,41,50,6288,,21
