date,outdated dependencies,all dependencies,kotlin lines,java lines,kotlin compiler warnings
25/09/2021,53,88
26/09/2021,53,88
27/09/2021,53,88
28/09/2021,50,88
29/09/2021,50,88
30/09/2021,57,88
01/10/2021,58,89
02/10/2021,60,89
03/10/2021,60,89
04/10/2021,60,89
05/10/2021,45,89,82499,111
06/10/2021,45,89,82499,111
07/10/2021,48,89,82533,111
08/10/2021,49,89,82756,111
09/10/2021,49,89,82773,111
10/10/2021,49,89,82778,111
11/10/2021,49,89,82778,111
12/10/2021,49,89,82988,111
13/10/2021,50,89,83111,111
14/10/2021,49,89,83298,111
15/10/2021,49,89,83351,111
16/10/2021,49,89,83395,111
17/10/2021,49,89,83395,111
18/10/2021,49,89,83395,111
19/10/2021,41,89,83526,111
20/10/2021,39,89,83586,111
21/10/2021,40,89,83586,111
22/10/2021,34,89,83586,111
23/10/2021,34,89,83751,111
24/10/2021,34,89,83755,111,685
25/10/2021,34,89,83755,111,685
26/10/2021,34,89,84024,111,684
27/10/2021,34,89,84056,111,684
28/10/2021,45,89,84153,111,686
29/10/2021,45,89,84159,111,686
30/10/2021,45,89,84775,111,686
31/10/2021,45,89,84775,111,686
01/11/2021,45,89,84775,111,686
02/11/2021,45,89,84775,111,686
03/11/2021,42,89,85260,111,686
04/11/2021,42,89,86389,111,678
05/11/2021,41,89,86405,111,677
06/11/2021,41,89,86431,111,677
07/11/2021,41,89,86431,111,677
08/11/2021,41,89,86431,111,677
09/11/2021,40,89,86805,111,672
10/11/2021,40,89,86870,111,672
11/11/2021,37,89,87218,111,673
12/11/2021,37,89,87425,111,674
13/11/2021,38,89,87531,111,673
14/11/2021,38,89,87531,111,673
15/11/2021,44,89,87531,111,673
16/11/2021,45,89,87542,111,673
17/11/2021,38,91,87178,111,678
18/11/2021,39,91,87178,111,678
19/11/2021,37,91,87088,111,680
20/11/2021,38,91,87639,111,680
21/11/2021,38,91,87639,111,680
22/11/2021,38,91,87639,111,680
23/11/2021,38,91,87840,111,685
24/11/2021,46,92,88067,111,685
25/11/2021,46,92,88107,111,685
29/11/2021,45,94,88811,111,689
30/11/2021,47,94,88866,111,690
01/12/2021,44,94,89084,111,689
02/12/2021,45,94,90047,111,689
03/12/2021,45,94,90097,111,689
04/12/2021,45,94,91408,111,689
05/12/2021,45,94,91408,111,689
06/12/2021,45,94,91477,111,689
07/12/2021,46,94,91477,111,689
08/12/2021,46,94,91490,111,689
09/12/2021,45,92,91490,111,689
10/12/2021,46,92,91581,111,689
11/12/2021,46,92,91581,111,689
12/12/2021,46,92,91581,111,689
13/12/2021,46,92,91581,111,689
14/12/2021,47,93,91104,111,672
15/12/2021,47,93,91226,111,644
16/12/2021,50,93,91226,111,644
17/12/2021,47,93,91222,111,644
18/12/2021,47,93,91305,111,644
19/12/2021,49,93,91566,111,644
20/12/2021,49,93,91566,111,644
21/12/2021,49,93,91675,111,644
22/12/2021,50,94,91899,111,644
23/12/2021,53,94,91983,111,646
24/12/2021,53,94,92199,111,643
25/12/2021,53,94,92660,111,646
26/12/2021,53,94,92660,111,646
28/12/2021,53,94,92712,111,646
29/12/2021,53,94,93036,111,642
30/12/2021,43,93,93212,111,642
31/12/2021,43,93,93320,111,644
01/01/2022,43,93,93320,111,644
02/01/2022,43,93,93320,111,644
03/01/2022,43,93,93320,111,644
04/01/2022,43,93,93351,111,644
05/01/2022,40,93,93495,111,644
06/01/2022,39,93,93786,111,644
07/01/2022,39,93,93937,111,644
08/01/2022,39,93,93929,111,638
09/01/2022,39,93,93929,111,638
10/01/2022,39,93,93929,111,638
11/01/2022,41,93,94000,111,638
12/01/2022,41,93,94212,111,635
13/01/2022,42,93,94212,111,635
14/01/2022,43,93,94329,111,635
15/01/2022,43,93,94378,111,635
16/01/2022,43,93,94378,111,635
17/01/2022,43,93,94378,111,635
18/01/2022,43,93,94378,111,635
19/01/2022,40,93,94563,111,630
20/01/2022,39,93,94563,111,630
21/01/2022,38,93,94772,111,630
22/01/2022,37,93,94637,111,630
23/01/2022,37,93,94637,111,630
24/01/2022,37,93,94637,111,630
25/01/2022,38,93,94637,111,630
26/01/2022,34,93,94734,111,625
27/01/2022,35,93,94734,111,4
28/01/2022,37,93,95152,111,4
29/01/2022,37,93,95185,111,4
30/01/2022,37,93,95185,111,4
31/01/2022,37,93,95178,111,4
01/02/2022,37,93,95227,111,4
02/02/2022,37,93,95553,111,4
03/02/2022,38,93,95642,111,4
04/02/2022,38,93,95643,111,4
05/02/2022,38,93,96329,111,4
06/02/2022,38,93,96329,111,4
07/02/2022,38,93,96329,111,4
08/02/2022,41,93,96388,111,4
09/02/2022,41,93,96487,111,4
10/02/2022,44,93,96684,111,4
11/02/2022,44,93,96820,111,4
12/02/2022,44,93,96969,111,4
13/02/2022,44,93,96969,111,4
14/02/2022,44,93,96969,111,4
15/02/2022,44,93,96969,111,659
16/02/2022,44,93,97036,111,659
17/02/2022,49,93,97774,111,660
18/02/2022,49,93,97904,111,660
19/02/2022,56,103,98466,111,671
20/02/2022,56,103,98466,111,671
21/02/2022,56,103,98466,111,671
22/02/2022,58,103,98489,111,671
23/02/2022,56,103,98489,111,671
24/02/2022,58,103,98606,111,671
25/02/2022,58,103,98576,111,671
26/02/2022,58,103,98740,111,671
27/02/2022,58,103,98762,111,671
28/02/2022,58,103,98762,111,671
01/03/2022,59,103,98762,111,671
02/03/2022,59,103,99031,111,669
03/03/2022,59,103,99031,111,669
04/03/2022,59,103,99469,111,669
05/03/2022,59,103,99831,111,666
06/03/2022,59,103,99831,111,666
07/03/2022,59,103,99843,111,666
08/03/2022,56,103,99986,111,664
09/03/2022,56,103,99986,111,664
10/03/2022,56,103,100147,111,664
11/03/2022,59,103,100037,111,655
12/03/2022,59,103,100037,111,655
13/03/2022,59,103,100037,111,655
14/03/2022,59,103,100037,111,655
15/03/2022,59,103,100287,111,683
16/03/2022,59,103,100307,111,684
17/03/2022,59,103,100307,111,684
18/03/2022,58,103,100274,111,684
19/03/2022,58,103,100349,111,684
20/03/2022,58,103,100349,111,684
21/03/2022,58,103,100349,111,684
22/03/2022,58,103,100336,111,684
23/03/2022,60,103,100501,111,684
24/03/2022,60,106,100661,111,684
25/03/2022,59,108,101194,111,343
26/03/2022,43,108,101931,111,342
27/03/2022,43,108,101983,111,342
28/03/2022,44,108,101983,111,342
29/03/2022,44,108,101983,111,342
30/03/2022,44,108,101947,111,342
31/03/2022,44,108,101955,111,342
01/04/2022,44,108,102029,111,342
02/04/2022,52,108,102023,111,343
03/04/2022,52,108,102023,111,343
04/04/2022,52,108,102023,111,343
05/04/2022,50,108,102396,111,344
06/04/2022,50,108,102519,111,344
07/04/2022,53,108,102664,111,347
08/04/2022,52,108,102672,111,347
09/04/2022,52,108,102644,111,344
10/04/2022,52,108,102644,111,344
11/04/2022,52,108,102654,111,344
12/04/2022,54,108,102728,111,344
13/04/2022,54,108,103200,111,345
14/04/2022,54,108,103433,111,344
15/04/2022,53,108,103575,111,343
16/04/2022,53,108,103696,111,343
17/04/2022,53,108,103701,111,343
18/04/2022,53,108,103701,111,343
19/04/2022,53,108,103920,111,342
20/04/2022,55,108,104290,111,357
21/04/2022,51,109,104458,111,357
22/04/2022,51,109,104515,111,357
23/04/2022,51,109,104710,111,357
24/04/2022,49,109,104710,111,357
25/04/2022,49,109,104710,111,357
26/04/2022,44,109,105134,111,336
27/04/2022,44,109,105236,111,336
28/04/2022,45,109,105488,111,336
29/04/2022,44,109,108596,111,337
30/04/2022,44,109,108911,111,336
01/05/2022,44,109,108911,111,336
02/05/2022,44,109,108911,111,336
03/05/2022,46,109,108947,111,336
04/05/2022,44,109,109045,111,336
05/05/2022,45,109,109244,111,336
06/05/2022,46,109,110797,111,338
07/05/2022,47,109,110910,111,338
08/05/2022,47,109,110910,111,338
09/05/2022,47,109,110910,111,338
10/05/2022,45,109,110957,111,338
11/05/2022,44,109,111514,111,338
12/05/2022,45,109,111536,111,338
