date,outdated dependencies,all dependencies,kotlin lines,java lines,kotlin compiler warnings
25/09/2021,33,45
26/09/2021,33,45
27/09/2021,33,45
28/09/2021,33,45
29/09/2021,33,45
30/09/2021,35,45
01/10/2021,35,45
02/10/2021,36,45
03/10/2021,36,45
04/10/2021,36,45
05/10/2021,29,45,3898,17106
06/10/2021,29,45,3898,17106
07/10/2021,29,45,3898,17106
08/10/2021,29,45,3898,17106
09/10/2021,29,45,3898,17106
10/10/2021,29,45,3898,17106
11/10/2021,29,45,3898,17106
12/10/2021,29,45,3898,17106
13/10/2021,30,45,3898,17106
14/10/2021,30,45,3898,17106
15/10/2021,30,45,3898,17110
16/10/2021,30,45,3898,17110
17/10/2021,30,45,3898,17110
18/10/2021,30,45,3898,17110
19/10/2021,30,45,3898,17110
20/10/2021,30,45,3898,17110
21/10/2021,30,45,3898,17110
22/10/2021,30,45,3898,17110
23/10/2021,30,45,3898,17110
24/10/2021,30,45,3898,17110,0
25/10/2021,30,45,3898,17110,0
26/10/2021,30,45,3898,17110,0
27/10/2021,30,45,3898,17110,0
28/10/2021,34,45,3898,17110,0
29/10/2021,34,45,3898,17110,0
30/10/2021,34,45,3898,17110,0
31/10/2021,34,45,3898,17110,0
01/11/2021,34,45,3898,17110,0
02/11/2021,34,45,3898,17110,0
03/11/2021,34,45,3898,17110,0
04/11/2021,34,45,3898,17110,0
05/11/2021,34,45,3898,17110,0
06/11/2021,34,45,3898,17110,0
07/11/2021,34,45,3898,17110,0
08/11/2021,34,45,3898,17110,0
09/11/2021,34,45,3898,17110,0
10/11/2021,34,45,3898,17110,0
11/11/2021,34,45,3898,17110,0
12/11/2021,34,45,3898,17110,0
13/11/2021,34,45,3898,17110,0
14/11/2021,34,45,3898,17110,0
15/11/2021,34,45,3898,17110,0
16/11/2021,34,45,3898,17110,0
17/11/2021,34,45,3898,17110,0
18/11/2021,35,45,3898,17110,0
19/11/2021,35,45,3898,17110,0
20/11/2021,35,45,3898,17110,0
21/11/2021,35,45,3898,17110,0
22/11/2021,35,45,3898,17110,0
23/11/2021,35,45,3898,17110,0
24/11/2021,35,45,3898,17110,0
25/11/2021,35,45,3898,17110,0
29/11/2021,35,45,3898,17110,0
30/11/2021,35,45,3898,17110,0
01/12/2021,35,45,3898,17110,0
02/12/2021,35,45,3898,17110,0
03/12/2021,35,45,3898,17110,0
04/12/2021,35,45,3898,17110,0
05/12/2021,35,45,3898,17110,0
06/12/2021,36,45,3898,17110,0
07/12/2021,36,45,3898,17110,0
08/12/2021,36,45,3898,17110,0
09/12/2021,36,45,3898,17110,0
10/12/2021,36,45,3898,17110,0
11/12/2021,36,45,3898,17110,0
12/12/2021,36,45,3898,17110,0
13/12/2021,36,45,3898,17110,0
14/12/2021,36,45,3898,17110,0
15/12/2021,36,45,3898,17110,0
16/12/2021,36,45,3898,17110,0
17/12/2021,36,45,3898,17110,0
18/12/2021,36,45,3898,17110,0
19/12/2021,36,45,3898,17110,0
20/12/2021,36,45,3898,17110,0
21/12/2021,36,45,3898,17110,0
22/12/2021,36,45,3898,17110,0
23/12/2021,36,45,3898,17110,0
24/12/2021,36,45,3898,17110,0
25/12/2021,36,45,3898,17110,0
26/12/2021,36,45,3898,17110,0
28/12/2021,36,45,3898,17110,0
29/12/2021,36,45,3898,17110,0
30/12/2021,36,45,3898,17110,0
31/12/2021,36,45,3898,17110,0
01/01/2022,36,45,3898,17110,0
02/01/2022,36,45,3898,17110,0
03/01/2022,36,45,3898,17110,0
04/01/2022,36,45,3898,17110,0
05/01/2022,36,45,3898,17110,0
06/01/2022,36,45,3898,17110,0
07/01/2022,36,45,3898,17110,0
08/01/2022,36,45,3898,17110,0
09/01/2022,36,45,3898,17110,0
10/01/2022,36,45,3898,17110,0
11/01/2022,36,45,3898,17110,0
12/01/2022,36,45,3898,17110,0
13/01/2022,36,45,3898,17110,0
14/01/2022,36,45,3898,17110,0
15/01/2022,36,45,3898,17110,0
16/01/2022,36,45,3898,17110,0
17/01/2022,36,45,3898,17110,0
18/01/2022,36,45,3898,17110,0
19/01/2022,36,45,3898,17110,0
20/01/2022,36,45,3898,17110,0
21/01/2022,36,45,3898,17110,0
22/01/2022,36,45,3898,17110,0
23/01/2022,36,45,3898,17110,0
24/01/2022,36,45,3898,17110,0
